==========fail to load checkpoint from teacher_modelV3_imagenette/checkpoint
==========[113/400]	loss 0.334	top1 acc 90.000 (94.000)	top5 acc 99.250	Train top1 92.529	loss 0.232	(128, 87.000), (160, 91.000), (192, 91.000), (224, 91.000), 
==========[114/400]	loss 0.263	top1 acc 90.250 (94.000)	top5 acc 99.750	Train top1 92.422	loss 0.226	(128, 86.000), (160, 89.000), (192, 92.000), (224, 94.000), 
==========[115/400]	loss 0.352	top1 acc 88.750 (94.000)	top5 acc 100.000	Train top1 92.422	loss 0.233	(128, 85.000), (160, 90.000), (192, 90.000), (224, 90.000), 
==========[116/400]	loss 0.275	top1 acc 92.500 (94.000)	top5 acc 99.750	Train top1 92.358	loss 0.236	(128, 91.000), (160, 91.000), (192, 94.000), (224, 94.000), 
==========[117/400]	loss 0.257	top1 acc 92.000 (94.000)	top5 acc 99.500	Train top1 92.603	loss 0.237	(128, 88.000), (160, 90.000), (192, 95.000), (224, 95.000), 
==========[118/400]	loss 0.317	top1 acc 91.250 (94.000)	top5 acc 98.250	Train top1 92.529	loss 0.233	(128, 91.000), (160, 91.000), (192, 91.000), (224, 92.000), 
==========[119/400]	loss 0.303	top1 acc 90.000 (94.000)	top5 acc 100.000	Train top1 92.763	loss 0.225	(128, 86.000), (160, 91.000), (192, 91.000), (224, 92.000), 
==========[120/400]	loss 0.286	top1 acc 90.250 (94.000)	top5 acc 99.250	Train top1 93.169	loss 0.213	(128, 88.000), (160, 90.000), (192, 92.000), (224, 91.000), 
==========[121/400]	loss 0.247	top1 acc 92.000 (94.000)	top5 acc 99.250	Train top1 92.913	loss 0.217	(128, 89.000), (160, 93.000), (192, 93.000), (224, 93.000), 
==========[122/400]	loss 0.231	top1 acc 92.250 (94.000)	top5 acc 100.000	Train top1 93.244	loss 0.216	(128, 89.000), (160, 93.000), (192, 93.000), (224, 94.000), 
==========[123/400]	loss 0.222	top1 acc 91.750 (94.000)	top5 acc 99.500	Train top1 93.073	loss 0.217	(128, 87.000), (160, 89.000), (192, 96.000), (224, 95.000), 
==========[124/400]	loss 0.288	top1 acc 90.250 (94.000)	top5 acc 99.750	Train top1 93.265	loss 0.206	(128, 88.000), (160, 89.000), (192, 91.000), (224, 93.000), 
==========[125/400]	loss 0.201	top1 acc 92.750 (94.000)	top5 acc 100.000	Train top1 92.817	loss 0.222	(128, 90.000), (160, 93.000), (192, 95.000), (224, 93.000), 
==========[126/400]	loss 0.203	top1 acc 92.000 (94.000)	top5 acc 100.000	Train top1 93.799	loss 0.202	(128, 89.000), (160, 94.000), (192, 92.000), (224, 93.000), 
==========[127/400]	loss 0.313	top1 acc 88.750 (94.000)	top5 acc 100.000	Train top1 93.873	loss 0.204	(128, 85.000), (160, 89.000), (192, 90.000), (224, 91.000), 
==========[128/400]	loss 0.253	top1 acc 90.750 (94.000)	top5 acc 99.000	Train top1 93.020	loss 0.211	(128, 88.000), (160, 91.000), (192, 91.000), (224, 93.000), 
==========[129/400]	loss 0.262	top1 acc 92.000 (94.000)	top5 acc 100.000	Train top1 93.350	loss 0.214	(128, 91.000), (160, 92.000), (192, 93.000), (224, 92.000), 
==========[130/400]	loss 0.212	top1 acc 93.750 (94.000)	top5 acc 100.000	Train top1 93.308	loss 0.208	(128, 92.000), (160, 93.000), (192, 95.000), (224, 95.000), 
==========[131/400]	loss 0.288	top1 acc 91.000 (94.000)	top5 acc 100.000	Train top1 93.895	loss 0.196	(128, 88.000), (160, 93.000), (192, 91.000), (224, 92.000), 
==========[132/400]	loss 0.250	top1 acc 92.000 (94.000)	top5 acc 99.750	Train top1 93.500	loss 0.199	(128, 90.000), (160, 92.000), (192, 93.000), (224, 93.000), 
==========[133/400]	loss 0.238	top1 acc 91.500 (94.000)	top5 acc 100.000	Train top1 93.607	loss 0.201	(128, 90.000), (160, 92.000), (192, 92.000), (224, 92.000), 
==========[134/400]	loss 0.308	top1 acc 90.500 (94.000)	top5 acc 100.000	Train top1 93.478	loss 0.208	(128, 89.000), (160, 91.000), (192, 91.000), (224, 91.000), 
==========[135/400]	loss 0.228	top1 acc 92.750 (94.000)	top5 acc 100.000	Train top1 93.489	loss 0.212	(128, 90.000), (160, 91.000), (192, 93.000), (224, 97.000), 
==========[136/400]	loss 0.246	top1 acc 91.750 (94.000)	top5 acc 99.000	Train top1 93.948	loss 0.195	(128, 90.000), (160, 92.000), (192, 93.000), (224, 92.000), 
==========[137/400]	loss 0.287	top1 acc 89.500 (94.000)	top5 acc 100.000	Train top1 93.425	loss 0.208	(128, 87.000), (160, 89.000), (192, 89.000), (224, 93.000), 
==========[138/400]	loss 0.293	top1 acc 90.500 (94.000)	top5 acc 100.000	Train top1 93.863	loss 0.195	(128, 86.000), (160, 90.000), (192, 93.000), (224, 93.000), 
==========[139/400]	loss 0.270	top1 acc 91.250 (94.000)	top5 acc 100.000	Train top1 93.724	loss 0.194	(128, 88.000), (160, 91.000), (192, 93.000), (224, 93.000), 
==========[140/400]	loss 0.266	top1 acc 90.750 (94.000)	top5 acc 99.750	Train top1 93.457	loss 0.199	(128, 88.000), (160, 92.000), (192, 92.000), (224, 91.000), 
==========[141/400]	loss 0.212	top1 acc 92.000 (94.000)	top5 acc 99.500	Train top1 93.745	loss 0.190	(128, 89.000), (160, 92.000), (192, 94.000), (224, 93.000), 
==========[142/400]	loss 0.224	top1 acc 92.000 (94.000)	top5 acc 100.000	Train top1 94.300	loss 0.180	(128, 89.000), (160, 90.000), (192, 95.000), (224, 94.000), 
==========[143/400]	loss 0.255	top1 acc 91.500 (94.000)	top5 acc 100.000	Train top1 94.546	loss 0.178	(128, 88.000), (160, 92.000), (192, 93.000), (224, 93.000), 
==========[144/400]	loss 0.295	top1 acc 89.500 (94.000)	top5 acc 99.000	Train top1 93.980	loss 0.187	(128, 88.000), (160, 89.000), (192, 91.000), (224, 90.000), 
==========[145/400]	loss 0.303	top1 acc 91.500 (94.000)	top5 acc 99.000	Train top1 94.439	loss 0.180	(128, 91.000), (160, 92.000), (192, 92.000), (224, 91.000), 
==========[146/400]	loss 0.275	top1 acc 90.000 (94.000)	top5 acc 100.000	Train top1 94.535	loss 0.178	(128, 86.000), (160, 91.000), (192, 93.000), (224, 90.000), 
==========[147/400]	loss 0.351	top1 acc 88.500 (94.000)	top5 acc 99.750	Train top1 94.001	loss 0.189	(128, 87.000), (160, 89.000), (192, 89.000), (224, 89.000), 
